,ret,std,SR
Low,0.21168842093510482,0.13018514549062085,1.6260566452288203
2,0.23549096656917828,0.15903716028550763,1.4807291965375815
3,0.2589826592061388,0.16120756380951048,1.6065167978852617
4,0.22998732570926503,0.1629121717061895,1.4117258600176599
5,0.22388251994423292,0.16278086092557004,1.375361444037337
6,0.22045006116962684,0.16336248542032306,1.3494533986944461
7,0.1982646602939472,0.16192938204536414,1.2243896554758902
8,0.25662499399488575,0.17115215588712107,1.499396795002314
9,0.25313939571719446,0.1711712316784435,1.4788664732677368
High,0.4343651367856672,0.22173277470025182,1.9589577471028412
H-L,0.2226767158505623,0.15515649450096003,1.4351749603957733
Turnover,,,5.540267972303239
