,I5/R5,I5/R20,I5/R60,del1,I5/R5,I5/R5,I5/R5,del2,I5/R20,I5/R20,I5/R20,del3,I5/R60,I5/R60,I5/R60
,(1),(2),(3),del1,(4),(5),(6),del2,(7),(8),(9),del3,(10),(11),(12)
CNN,,,,,,,,,,,,,,,
open lag 1,-4.49,-282.11,-0.78,,,,,,,,,,,,
open lag 2,-0.25,254.09,0.35,,,,,,,,,,,,
open lag 3,15.80,-87.39,3.30,,,,,,,,,,,,
open lag 4,-5.16,70.84,-1.12,,,,,,,,,,,,
open lag 5,4.83,-68.36,0.16,,,,,,,,,,,,
high lag 1,16.60,698.73,2.27,,,,,,,,,,,,
high lag 2,-6.04,48.03,1.37,,,,,,,,,,,,
high lag 3,-2.13,215.23,0.72,,,,,,,,,,,,
high lag 4,0.91,-258.63,0.18,,,,,,,,,,,,
high lag 5,6.85,290.34,-1.59,,,,,,,,,,,,
low lag 1,3.00,222.42,-1.65,,,,,,,,,,,,
low lag 2,6.95,7.75,1.53,,,,,,,,,,,,
low lag 3,-4.23,-166.41,-1.40,,,,,,,,,,,,
low lag 4,-1.22,-16.57,-0.80,,,,,,,,,,,,
low lag 5,-6.03,100.63,0.18,,,,,,,,,,,,
close lag 1,-25.27,-1452.71,-5.47,,,,,,,,,,,,
close lag 2,4.74,234.89,-2.99,,,,,,,,,,,,
close lag 3,4.06,197.93,-0.72,,,,,,,,,,,,
close lag 4,-3.59,117.45,-4.86,,,,,,,,,,,,
ma lag 1,-0.84,-242.36,1.85,,,,,,,,,,,,
ma lag 2,-15.45,93.36,5.68,,,,,,,,,,,,
ma lag 3,8.13,-135.83,-8.12,,,,,,,,,,,,
ma lag 4,8.95,-68.00,2.91,,,,,,,,,,,,
ma lag 5,-11.01,-35.05,-0.22,,,,,,,,,,,,
vol lag 1,6.01,275.17,2.26,,,,,,,,,,,,
vol lag 2,1.50,-51.65,3.58,,,,,,,,,,,,
vol lag 3,2.25,-33.15,1.34,,,,,,,,,,,,
vol lag 4,0.32,98.20,-0.14,,,,,,,,,,,,
vol lag 5,2.03,-130.72,1.54,,,,,,,,,,,,
OOS McFadden $R^2$,72.67,100.00,43.71,,,,,,,,,,,,
